Name,Gender,Rating Value,Rating Count,Main Accords,Description,url
Oud Wood Tom Fordfor women and men,for women and men,4.32,"12,709","['woody', 'oud', 'warm spicy', 'aromatic', 'vanilla', 'balsamic', 'fresh spicy', 'amber', 'powdery', 'sweet']",Oud WoodbyTom Fordis a Amber Woody fragrance for women and men.Oud Woodwas launched in 2007. The nose behind this fragrance is Richard Herpin.,https://www.fragrantica.com/perfume/Tom-Ford/Oud-Wood-1826.html
Virgin Island Water Creedfor women and men,for women and men,4.31,"6,903","['citrus', 'sweet', 'coconut', 'vanilla', 'lactonic', 'rum', 'fresh spicy', 'woody']","Virgin Island WaterbyCreedis a Citrus fragrance for women and men.Virgin Island Waterwas launched in 2007. Virgin Island Water was created by Olivier Creed and Erwin Creed. Top notes are Coconut, Lime, White Bergamot and Sicilian Mandarin; middle notes are Ginger, Ylang-Ylang, Indian Jasmine and Hibiscus; base notes are White Rum, Sugar Cane and Musk.",https://www.fragrantica.com/perfume/Creed/Virgin-Island-Water-899.html
Grand Soir Maison Francis Kurkdjianfor women and men,for women and men,4.31,"8,568","['amber', 'vanilla']",Grand SoirbyMaison Francis Kurkdjianis a Amber fragrance for women and men.Grand Soirwas launched in 2016. The nose behind this fragrance is Francis Kurkdjian.,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html
Oud for Greatness Initio Parfums Privesfor women and men,for women and men,4.29,"5,342","['warm spicy', 'fresh spicy', 'oud', 'lavender', 'patchouli', 'metallic', 'musky', 'leather', 'woody', 'earthy']","Oud for GreatnessbyInitio Parfums Privesis a fragrance for women and men.Oud for Greatnesswas launched in 2018. Top notes are Saffron, Nutmeg and Lavender; middle note is Agarwood (Oud); base notes are Patchouli and Musk.",https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-53641.html
Ani Nishanefor women and men,for women and men,4.28,"6,291","['warm spicy', 'vanilla', 'woody', 'citrus', 'powdery', 'amber', 'aromatic', 'soft spicy', 'balsamic', 'fruity']","AnibyNishaneis a Amber Floral fragrance for women and men.Aniwas launched in 2019. The nose behind this fragrance is C̩cile Zarokian. Top notes are Ginger, Bergamot, Pink Pepper and Green Notes; middle notes are Cardamom, Black Currant and Turkish Rose; base notes are Vanilla, Benzoin, Sandalwood, Cedar, Patchouli, Ambergris and Musk.",https://www.fragrantica.com/perfume/Nishane/Ani-54785.html
Tuscan Leather Tom Fordfor women and men,for women and men,4.27,"8,561","['leather', 'fruity', 'animalic', 'sweet', 'amber', 'smoky', 'warm spicy']","Tuscan LeatherbyTom Fordis a Leather fragrance for women and men.Tuscan Leatherwas launched in 2007. Top notes are Raspberry, Saffron and Thyme; middle notes are Olibanum and Jasmine; base notes are Leather, Suede, Woody Notes and Amber.",https://www.fragrantica.com/perfume/Tom-Ford/Tuscan-Leather-1849.html
Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjianfor women and men,for women and men,4.26,"7,752","['woody', 'almond', 'amber', 'warm spicy', 'animalic', 'nutty', 'musky', 'fruity', 'white floral', 'metallic']","Baccarat Rouge 540 Extrait de ParfumbyMaison Francis Kurkdjianis a Amber Floral fragrance for women and men.Baccarat Rouge 540 Extrait de Parfumwas launched in 2017. The nose behind this fragrance is Francis Kurkdjian. Top notes are Bitter Almond and Saffron; middle notes are Egyptian Jasmine and Cedar; base notes are Ambergris, Woody Notes and Musk.",https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-Extrait-de-Parfum-46066.html
Mill̩sime Imp̩rial Creedfor women and men,for women and men,4.24,"5,616","['marine', 'citrus', 'salty', 'fruity', 'aromatic', 'sweet', 'powdery', 'musky', 'woody', 'iris']","Mill̩sime Imp̩rialbyCreedis a Woody Floral Musk fragrance for women and men.Mill̩sime Imp̩rialwas launched in 1995. Mill̩sime Imp̩rial was created by Olivier Creed and Pierre Bourdon. Top notes are Sea Salt and Fruity Notes; middle notes are Sicilian Lemon, Bergamot, Iris and Mandarin Orange; base notes are Sea Notes, Musk and Woody Notes.",https://www.fragrantica.com/perfume/Creed/Millesime-Imperial-466.html
Wood Sage & Sea Salt Jo Malone Londonfor women and men,for women and men,4.24,"10,208","['aromatic', 'salty', 'marine', 'citrus', 'musky', 'herbal', 'soft spicy', 'floral', 'aquatic']",Wood Sage & Sea SaltbyJo Malone Londonis a Aromatic fragrance for women and men.Wood Sage & Sea Saltwas launched in 2014. The nose behind this fragrance is Christine Nagel.,https://www.fragrantica.com/perfume/Jo-Malone-London/Wood-Sage-Sea-Salt-25529.html
By the Fireplace Maison Martin Margielafor women and men,for women and men,4.24,"15,275","['woody', 'vanilla', 'balsamic', 'warm spicy', 'amber', 'powdery', 'nutty', 'musky', 'soft spicy', 'sweet']","By the FireplacebyMaison Martin Margielais a Woody fragrance for women and men.By the Fireplacewas launched in 2015. The nose behind this fragrance is Marie Salamagne. Top notes are Cloves, Pink Pepper and Orange Blossom; middle notes are Chestnut, Guaiac Wood and Juniper; base notes are Vanilla, Peru Balsam and Cashmeran.",https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html
Chergui Serge Lutensfor women and men,for women and men,4.24,"10,818","['amber', 'sweet', 'tobacco', 'honey', 'powdery', 'woody', 'green', 'smoky', 'warm spicy', 'floral']",CherguibySerge Lutensis a Amber Spicy fragrance for women and men.Cherguiwas launched in 2001. The nose behind this fragrance is Christopher Sheldrake.,https://www.fragrantica.com/perfume/Serge-Lutens/Chergui-2762.html
Tobacco Vanille Tom Fordfor women and men,for women and men,4.23,"22,332","['vanilla', 'sweet', 'tobacco', 'warm spicy', 'fruity', 'woody', 'cacao', 'powdery']","Tobacco VanillebyTom Fordis a Amber Spicy fragrance for women and men.Tobacco Vanillewas launched in 2007. The nose behind this fragrance is Olivier Gillotin. Top notes are Tobacco Leaf and Spicy Notes; middle notes are Vanilla, Cacao, Tonka Bean and Tobacco Blossom; base notes are Dried Fruits and Woody Notes.",https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html
